Ontology	Metric	Value
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NumberOfLexicalRegularitiesMetric"	3
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NumberOfLexicalRegularityClassesMetric"	2
"https://saref.etsi.org/saref4envi/v1.1.2/"	"LexicalRegularitiesPerClassMetric"	0.1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"LexicalRegularityClassPercentageMetric"	0.067
"https://saref.etsi.org/saref4envi/v1.1.2/"	"LexicallySuggestLogicallyDefineMetric"	0.8
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SystematicNamingMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NumberOfClassesMetric"	30
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NamesPerClassMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NamesPerPropertyMetric"	0.692
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NamesPerDataPropertyMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"NamesPerObjectPropertyMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SynonymsPerClassMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SynonymsPerPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SynonymsPerDataPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"SynonymsPerObjectPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerClassMetric"	1.167
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerPropertyMetric"	0.885
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerDataPropertyMetric"	1.417
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DescriptionsPerObjectPropertyMetric"	1.208
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ClassesWithNoNameMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ClassesWithNoDescriptionMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ClassesWithNoSynonymMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ObjectPropertiesWithNoNameMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DataPropertiesWithNoNameMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DataPropertiesWithNoDescriptionMetric"	0
"https://saref.etsi.org/saref4envi/v1.1.2/"	"DataPropertiesWithNoSynonymMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://saref.etsi.org/saref4envi/v1.1.2/"	"AnnotationPropertiesWithNoSynonymMetric"	1
